time,stimulus,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21,cell 22,cell 23,cell 24,cell 25,cell 26,cell 27,cell 28,cell 29,cell 30,cell 31,cell 32,cell 33,cell 34,cell 35,cell 36,cell 37,cell 38,cell 39,cell 40,cell 41,cell 42,cell 43,cell 44,cell 45,cell 46,cell 47,cell 48,cell 49,cell 50,cell 51,cell 52,cell 53,cell 54,cell 55,cell 56,cell 57,cell 58,cell 59,cell 60,cell 61,cell 62,cell 63,cell 64,cell 65,cell 66,cell 67,cell 68,cell 69,cell 70,cell 71,cell 72,cell 73,cell 74,cell 75,cell 76,cell 77,cell 78,cell 79,cell 80,cell 81,cell 82,cell 83,cell 84,cell 85,cell 86,cell 87,cell 88,cell 89,cell 90,cell 91,cell 92,cell 93,cell 94,cell 95,cell 96,cell 97,cell 98,cell 99,cell 100,cell 101,cell 102,cell 103,cell 104,cell 105,cell 106,cell 107,cell 108,cell 109,cell 110,cell 111,cell 112,cell 113,cell 114,cell 115,cell 116,cell 117,cell 118,cell 119,cell 120,cell 121,cell 122,cell 123,cell 124,cell 125,cell 126,cell 127,cell 128,cell 129,cell 130,cell 131,cell 132,cell 133,cell 134,cell 135,cell 136,cell 137,cell 138,cell 139,cell 140,cell 141,cell 142,cell 143,cell 144,cell 145,cell 146,cell 147,cell 148,cell 149,cell 150,cell 151,cell 152,cell 153,cell 154,cell 155,cell 156,cell 157,cell 158,cell 159,cell 160,cell 161,cell 162,cell 163,cell 164,cell 165,cell 166,cell 167,cell 168,cell 169,cell 170,cell 171,cell 172,cell 173,cell 174,cell 175,cell 176,cell 177,cell 178,cell 179,cell 180,cell 181,cell 182,cell 183
0,100,0.049614143,0.004614159,-0.029167088,0.116881399,-0.232783921,-0.001298584,-0.297501158,-0.240218568,0.15486753,-0.08590668,-0.121852537,-0.145852556,-0.039446371,0.074403579,0.144407312,0.060153026,0.053069896,0.093373884,0.06995047,0.068578196,0.006519767,-0.024878305,-0.266006683,-0.001421348,-0.249317892,-0.050355334,-0.329064044,-0.018804921,-0.0055096,-0.171095622,0.203486829,-0.034763031,0.318224867,-0.233002653,0.345464548,-0.032238354,0.089833505,-0.249929718,0.019428946,0.140441364,-0.092211634,-0.016123497,0.06091535,0.135183583,-0.031828894,-0.101908344,-0.343542939,-0.012665453,0.040180584,0.108206993,-0.091018379,0.282825774,0.043958939,0.130694292,-0.312004206,-0.078664339,-0.134698258,0.025893141,0.049853345,-0.178726463,0.084504526,0.083646509,0.030063056,0.071358048,-0.100703887,-0.096870612,0.018682235,-0.060235527,0.019092695,0.204682904,-0.062803524,0.057569591,0.018426418,0.03400405,-0.123629464,-0.11658498,-0.109264581,-0.126403841,-0.064986661,-0.030456552,0.089836459,0.029684777,0.013032433,0.014796357,-0.222726998,-0.083160383,0.075315265,0.027348231,-0.179564425,-0.095200677,0.072323957,0.254931757,-0.159335672,0.097549095,0.021393077,0.00099482,-0.07462739,0.076893413,-0.20137024,0.086946189,-0.218664407,0.036429326,0.216640279,0.053821117,-0.075933087,0.128835836,-0.019448559,-0.169385293,0.187045712,0.112082211,0.178950172,0.102832357,-0.161305143,-0.104313378,0.233125811,-0.139425095,0.130966694,-0.051780552,0.107326878,0.019405353,0.319436514,0.02702658,-0.123672505,0.092503859,-0.155272398,0.028329608,-0.10949071,-0.118948844,0.124935409,-0.499911625,-0.123871961,-0.01720019,-0.061868682,0.128737087,-0.332108129,0.268062491,0.331603128,0.112439095,-0.050651565,0.069942218,0.222643083,-0.095192515,0.279877749,0.023381533,0.106845679,0.036304531,0.279131636,0.144559215,-0.295164101,-0.040571987,0.044938543,-0.072496572,0.00015799,0.02759647,0.062632245,-0.04472755,0.229546066,0.065284116,0.215669006,0.173287053,-0.06525641,0.027949132,0.055089794,-0.043160623,0.06973867,-0.12347741,0.115969234,0.230549762,-0.108274874,-0.304422275,0.323704555,0.166164738,-0.098836165,0.000234281,-0.082336122,-0.028555144,-0.108560941,-0.013015481,0.138396309,-0.32569913,-0.285597492,0.00911583,0.102320449
0.5,100,0.055139034,0.15844217,0.109754098,0.03734045,-0.071478423,-0.062844807,-0.00771424,-0.245986083,0.173309794,-0.076665194,-0.046114019,0.010372728,0.12121043,-0.092316299,0.219021092,-0.274614918,-0.179983797,-0.158757056,0.152601498,0.071093209,-0.028126314,0.105688059,-0.163262737,-0.222280232,-0.116667646,0.003636478,-0.017334395,-0.021338772,0.008819081,0.009075251,0.11267678,-0.009938114,-0.085913436,0.138402294,-0.288032355,-0.012484113,0.061618219,-0.283538401,-0.102033297,-0.132923014,0.036142601,0.026379151,0.105886205,0.048907376,0.003388142,-0.083604707,-0.38458951,-0.111357127,-0.002313893,-0.134486409,-0.017270943,0.225571335,0.069105993,-0.060742367,-0.325945494,-0.186840482,0.057717544,-0.0404508,-0.014813751,-0.072005072,0.1068556,-0.033841343,0.307013711,0.027590172,-0.093184274,-0.246791198,-0.094493522,-0.199057922,0.161136462,0.109133742,-0.113337806,0.005084211,-0.032288764,0.046985791,-0.159302934,-0.032849546,0.059420267,-0.135107392,-0.126855496,0.017333588,0.162467977,-0.18829717,-0.280630914,-0.064332357,-0.066458242,-0.061435658,0.17635652,0.02182165,-0.139052448,0.086043625,0.08115127,0.291011479,-0.268288331,0.053151818,-0.122533381,-0.040919446,-0.103417379,0.091064465,-0.03021557,0.048956665,-0.129219942,-0.0136467,0.359735858,0.185670042,-0.044221384,0.051835431,-0.168998469,-0.19978829,0.174665397,0.049163855,0.286993964,0.218121217,0.038679123,-0.001442541,0.017848251,0.031144707,-0.316103149,0.005759584,0.09503385,0.163490281,0.447794175,0.001116602,0.114701163,0.145303495,-0.323619284,-0.035430676,0.05345583,0.026389521,0.312969816,0.140261875,-0.135696775,0.084482865,0.185806124,0.094052182,-0.10862053,0.141374289,0.360436646,0.117898221,0.03231936,-0.02153003,0.271851649,-0.206522336,0.423180095,-0.099143607,0.112237649,0.14026199,0.200500822,0.081213951,-0.17126816,0.014951426,-0.015155874,-0.427174229,-0.032550789,0.071696656,0.215134003,0.189136104,0.019135507,-0.069366199,0.132137177,0.107044456,-0.17064482,0.151674629,0.02029814,0.122597042,-0.174813087,-0.090936209,0.27360313,-0.04532949,-0.133982379,-0.290424785,0.31364178,-0.04661252,-0.167439507,-0.251728543,0.065123448,0.04372303,-0.113977835,-0.032466172,0.240633866,-0.141354602,0.034929269,0.141100027,0.091191277
1,100,0.101881036,0.125509932,0.020460409,0.050166139,-0.188638883,0.030586511,-0.251175134,-0.335386536,0.096961634,-0.117591793,-0.090895439,-0.087935801,0.050662869,-0.080666166,0.278333662,0.219931993,-0.016069694,0.153480816,-0.106851379,0.008090545,-0.004889738,0.017765342,-0.087055665,-0.240731738,-0.161380293,-0.221023325,-0.090250295,-0.188712487,-0.043163029,-0.003989218,0.039212293,0.010935574,0.148828519,-0.334013584,-0.090226244,0.136364806,0.17993263,-0.284840185,-0.155796701,-0.028263032,-0.095740294,0.055348101,-0.091803346,0.063719587,-0.08845985,-0.255020919,-0.128600295,-0.130728533,-0.039143209,0.084224958,-0.085565157,0.155380163,-0.036710881,0.186263104,-0.176210774,0.0200656,0.001877518,0.043346088,-0.118869228,-0.056459395,0.016923486,0.096811989,0.061007928,0.066885445,-0.063321485,-0.04223825,0.164580311,-0.023831064,0.078364618,0.153061111,-0.097190866,0.028278128,0.055988728,-0.333253143,0.015304549,0.089414009,-0.09661665,-0.379573728,-0.161440804,-0.174055675,-0.04830127,-0.04715939,-0.097608075,0.107303369,-0.133251871,-0.104742495,0.262118211,-0.055296379,-0.036431345,-0.172484943,0.359526941,0.096117852,0.006193771,0.082087386,0.022726302,-0.098945048,-0.036808054,-0.031346483,0.002111481,0.004290228,-0.079243264,-0.054552584,0.156788865,-0.065538694,0.013349197,-0.15776932,-0.270805485,-0.201535566,0.054944695,0.124814009,0.248870004,0.182809936,-0.021497441,-0.04455277,0.175937581,-0.023583142,0.049167333,0.051596675,-0.033820884,0.048444911,0.442459746,-0.172389495,-0.1808473,0.192865738,-0.317075459,0.004725488,-0.167728902,0.002405803,0.048986671,-0.311949687,-0.189705043,0.070285674,0.090733542,0.005574781,-0.284809347,0.212264907,0.368974792,0.057415831,-0.077942567,0.182032272,0.254298198,-0.007458307,0.274054327,0.115573929,0.176412229,0.178573012,0.104954091,0.127285001,-0.216534998,-0.066181888,-0.025508124,-0.185535601,0.029147099,-0.028960886,0.149518275,0.120207781,0.058883059,-0.002948509,0.095479839,0.004848086,-0.174570446,0.215832123,-0.043715206,-0.051661604,-0.14150782,-0.074469697,0.068608994,-0.183873621,-0.298475835,-0.410578497,0.219389998,-0.063898884,-0.201733857,-0.08339945,-0.133162162,-0.254327108,0.018520565,-0.201485612,-0.001181487,-0.273516771,0.029735974,0.040157615,0.05577854
1.5,100,-0.012295255,0.199083262,0.027601819,0.065289501,-0.257110175,-0.002896476,-0.271238958,-0.193899719,0.120215637,-0.108562579,0.028379406,0.167182355,0.13941731,-0.043916421,0.191052097,-0.013119174,-0.223283297,-0.007261126,0.03132314,-0.089231205,0.052688791,-0.027817922,0.107648675,-0.102298425,-0.132362663,-0.163191234,-0.095564456,0.050756559,-0.302344666,-0.072507652,-0.037086248,-0.142546347,0.103833732,-0.08686771,-0.090050407,0.26796961,0.198681911,-0.167122672,0.122054922,0.148252301,0.026213164,0.007071401,-0.137180714,0.037892075,-0.160616291,-0.335387315,-0.25537196,-0.013411723,0.144076916,-0.264224537,0.14477317,0.228114428,-0.141992268,-0.008355082,-0.52913317,0.067942924,-0.088421064,-0.157587677,-0.085584503,0.111008975,0.074780502,-0.084468001,0.188384791,-0.003170998,0.027637451,-0.19048985,-0.218407262,-0.038277434,0.10807753,0.029087043,-0.104635921,0.039492413,-0.029609032,-0.125311934,0.128517573,0.010330236,0.000283749,-0.202324291,-0.163583027,-0.055978875,-0.02891715,0.031903839,0.043964986,-0.034308442,-0.095550164,0.032543108,0.176574461,0.121728465,-0.096858982,0.025336345,0.113395374,0.117530082,-0.251740089,0.062855422,-0.105344669,-0.138718478,0.032443588,0.016467199,0.122353288,-0.003687669,-0.108212536,-0.07775075,0.178863806,-0.182479692,-0.015904193,-0.143913753,0.049049476,-0.306770892,0.118478416,0.066034693,0.114286755,-0.010108979,-0.106907467,-0.057269768,-0.054485999,0.103184671,-0.027339659,0.056050353,-0.01085963,0.038779838,0.537728954,0.158934659,-0.010898827,-0.007189937,-0.135885171,-0.092291456,-0.074038986,0.023969379,0.180715495,-0.216628521,-0.085578033,0.131995833,0.028754795,0.118688102,-0.332134364,-0.002110875,0.248974273,0.146919817,-0.003703039,0.244084731,0.170367098,-0.093099573,-0.007330125,-0.139674346,0.048405532,0.022187235,0.169001588,0.135045487,-0.079424664,-0.229044186,0.180917749,-0.215378803,0.201401444,-0.115507995,0.101268064,0.217686479,0.085215126,-0.070042168,0.173724678,0.063308266,0.143645664,0.011628973,0.011396446,0.09053285,-0.157082578,-0.233772783,0.029773196,-0.210243212,-0.056962925,-0.300797668,0.095630247,0.187135998,-0.092061485,-0.161181952,-0.274707863,0.050913824,-0.096343096,0.102189224,0.338200563,-0.310312051,-0.022982975,0.107600155,-0.006407791
2,110,0.005119428,-0.154672257,-0.116532929,-0.161857303,-0.045118001,-0.184792267,-0.325031151,-0.264185029,-0.009175572,-0.103539708,-0.297814705,-0.20909935,-0.181799819,-0.12914613,0.050660866,-0.164558338,-0.199933209,-0.042148872,-0.26972296,0.024539874,0.005558285,-0.090800374,-0.183772048,-0.222714978,-0.057833973,-0.120436493,0.014591113,-0.086755791,0.017223377,-0.203174184,-0.033605769,-0.174093844,0.133548662,0.012592112,-0.174528916,0.108814823,-0.018834157,0.016419524,-0.007791205,0.011762955,-0.167674731,-0.089701888,-0.251885696,0.028365326,-0.003263154,-0.111025308,-0.201278872,-0.146523823,0.009073643,0.023113941,-0.058211441,0.248434492,-0.046720692,0.009063629,-0.449757793,0.037454582,0.026110757,-0.04848661,-0.077932468,-0.249275969,-0.151145652,-0.1631108,-0.020188658,-0.039306462,-0.077171296,-0.07956903,0.116033855,-0.178372425,-0.104372643,0.272715853,-0.083172638,-0.060359244,-0.116436537,-0.331511138,-0.114120799,-0.233610586,-0.251453278,-0.085435962,-0.149489275,-0.153459883,-0.046762713,-0.085622881,0.127997161,-0.135400474,-0.07467407,-0.033459626,0.223129689,0.185369574,-0.210866843,-0.193087515,0.090556479,0.148305715,-0.006881096,-0.177275574,-0.158418923,-0.015489924,-0.078990586,-0.150278542,0.06059073,0.005619258,-0.303081828,-0.026762344,-0.052980594,0.075915956,-0.092841364,-0.041619982,-0.685748998,-0.139956384,0.060082457,-0.035891318,0.062957679,-0.438799616,-0.187869063,-0.036659243,-0.033301643,-0.177290753,-0.265236661,-0.123264923,-0.115866081,-0.081293547,0.145571385,-0.449190579,-0.14110331,0.007306301,-0.341283632,-0.120805931,-0.102635176,-0.207904732,-0.08089883,-0.281076353,-0.125178297,-0.078231958,-0.133728394,0.059994612,0.15170659,-0.132249926,0.196308328,-0.007548626,0.096433651,-0.350168472,0.02552765,-0.191780888,0.105552744,0.030281274,-0.005354736,0.02202756,0.246347079,-0.032034334,0.006903112,-0.073274453,-0.005238369,-0.185477968,0.003547326,-0.17773339,-0.0800845,-0.079290748,-0.101940496,-0.165485152,-0.076564503,0.117658465,-0.182481173,-0.036944845,0.005331123,0.063897397,-0.103950401,-0.024439242,0.141819914,-0.036040319,-0.148647503,-0.30020548,-0.124588539,-0.011078959,0.068478643,-0.046922703,-0.018132111,-0.031483492,-0.09047573,-0.241619031,0.25781529,-0.375582096,-0.101891784,0.002634204,-0.168382011
2.5,110,-0.076223158,-0.056407423,-0.197711987,-0.103794862,-0.178025038,-0.129343279,0.030053596,-0.118447421,0.167968447,-0.027912242,-0.082418026,-0.080547441,-0.145423408,0.041490436,0.086902026,-0.203082456,-0.024358016,-0.015306597,-0.083646567,-0.039470834,0.052869246,0.213613199,-0.174869344,-0.081889613,-0.142685886,0.246996128,-0.003951462,-0.137588757,-0.283980113,-0.180514709,-0.056330106,-0.10876147,-0.057369764,-0.104334933,-0.021026357,0.211009921,0.021076612,0.10158535,-0.012029701,0.051591283,-0.080911768,-0.134728121,-0.004051124,-0.069916214,-0.036506288,-0.112761942,-0.195758937,-0.167072137,0.05912916,-0.244577481,-0.280976584,-0.006965766,0.000274446,-0.059243969,-0.282380649,-0.024545224,-0.102687884,0.001324902,-0.148630068,-0.161921689,-0.055391991,0.039826641,0.024012293,-0.12918086,-0.204213227,-0.11305654,0.020197558,-0.263735245,-0.086809348,0.096306778,-0.026951687,-0.030969055,-0.160082087,-0.089218721,-0.096203043,-0.047553704,-0.298038656,-0.029379491,-0.135718207,-0.067511298,-0.032516266,-0.037489777,-0.135294166,-0.14159715,-0.115643119,-0.085330417,0.053728409,0.070526162,-0.209293543,-0.086735686,0.046314698,-0.03561194,-0.350292457,0.110595074,-0.136657314,0.033862219,0.022786302,-0.129900862,-0.208539117,-0.107590498,-0.053017785,0.035113095,-0.082438734,-0.13898728,0.163947432,-0.031646597,0.031679887,-0.130408929,-0.128140758,-0.139182309,0.026826472,0.242088279,-0.013607261,-0.027540881,0.048684656,-0.062329591,-0.096355328,-0.124583107,-0.094420324,0.117501579,0.19582283,-0.414141906,-0.063438724,0.209110886,-0.072110569,-0.011026182,-0.21091686,-0.102996628,0.171731592,-0.094129014,-0.169570583,-0.002795551,-0.149399917,0.087134701,-0.140443395,0.017521899,0.14379948,-0.141988925,-0.280325272,0.068111404,0.111683592,-0.053811127,0.053619164,-0.020814368,0.053568401,-0.138829115,0.218846342,0.069134387,-0.134976463,-0.053802661,-0.009379087,-0.240716508,0.017491782,-0.169352138,0.019391689,-0.297522852,-0.061432876,0.00544632,-0.037650655,-0.082795639,-0.139851158,0.240043385,-0.091104509,0.004810971,-0.03301969,-0.139785928,0.149173275,-0.087783125,-0.218887868,-0.324570871,0.138371212,-0.013246666,0.002559454,-0.38365772,-0.004624364,-0.006061213,-0.086008506,-0.17466439,0.133487786,-0.396059962,-0.127738394,0.083650951,-0.177027202
3,110,-0.043658674,-0.162366214,-0.127673923,0.043034397,-0.189772507,-0.161838816,-0.094824581,-0.230706418,0.115483415,-0.127986417,0.013531062,0.024107561,-0.114131159,-0.177953327,0.085176739,-0.198427474,-0.144800297,-0.178179031,-0.057585435,-0.223312193,-0.009345917,-0.114991474,-0.127559748,-0.12920449,-0.126982008,0.041798116,-0.057403981,-0.200977108,-0.269450336,-0.032092088,-0.108817232,0.123303106,0.047430785,0.159328127,0.012364229,0.015391065,0.058977835,-0.186952013,-0.149741224,-0.160943926,-0.214524801,-0.292395459,0.02182842,-0.037848502,-0.043007798,-0.145782342,-0.211323453,0.103970161,0.010930808,-0.073994897,-0.153995288,0.15826585,0.063358634,-0.023679024,-0.449644435,-0.098534407,-0.117437418,-0.142526049,-0.082657452,-0.10574717,-0.235604841,0.157909754,0.071765492,-0.027008919,-0.172926971,-0.061742153,-0.101135023,-0.228556628,-0.064545482,0.153841043,0.005158642,-0.036919468,-0.016724998,-0.088359022,-0.039376736,-0.168387809,-0.171083746,-0.118408387,-0.181724126,-0.265447663,-0.308474477,0.069774645,-0.115245488,-0.198699195,-0.173281621,-0.185402911,-0.014769157,0.032348527,-0.149705717,-0.191431627,-0.051078978,-0.115088507,-0.337957125,0.063232985,-0.073369534,0.017446548,-0.035476888,-0.021246372,-0.442427012,-0.020376921,-0.294423607,-0.138478208,-0.154234081,-0.218167957,0.031358096,-0.168162328,-0.160165769,-0.173712841,-0.094394671,-0.009393689,0.069376073,-0.002490311,-0.032952252,0.028828941,0.047417312,-0.047066166,-0.241696429,-0.134618734,-0.135078823,-0.23353371,0.402523219,-0.152960166,-0.182781725,-0.107248413,-0.068232697,-0.055618753,-0.111709232,0.100457984,0.173265499,-0.014558796,-0.252216629,0.102082712,-0.136343577,-0.173504319,-0.097851442,-0.028309457,0.078737685,-0.047421704,-0.16444842,-0.25523809,-0.082042882,-0.160307174,0.159620019,0.001990814,0.155932437,0.070472151,0.132063979,0.085122928,-0.238901442,-0.066859347,-0.028780162,0.015982334,0.270485306,-0.232973405,0.030869511,-0.005323061,-0.086192129,0.089745463,-0.026611639,0.053702332,-0.008166334,-0.088267624,0.003132383,0.03794978,-0.122225764,-0.05269154,0.087605284,0.17347703,-0.162516023,-0.414053707,0.018084656,-0.13816856,-0.078617348,-0.210807173,-0.174069254,-0.094433891,-0.045945488,-0.379667645,0.120475812,-0.278596237,0.075076903,-0.016954808,-0.101613273
3.5,110,-0.116752125,-0.033693113,-0.215072847,-0.206546525,-0.269784184,0.044778547,-0.134324668,-0.207576331,0.078852116,-0.151451895,-0.17531837,-0.285477634,-0.069119755,0.064745468,0.195819728,-0.129704459,-0.189997446,0.070052016,0.040641556,-0.236314871,-0.069231523,-0.230009876,-0.087448468,-0.241358393,-0.195012791,-0.113661912,-0.08892501,-0.215028517,0.223640314,0.04214782,-0.159219018,-0.130354164,-0.075863544,0.080186987,-0.111715802,-0.051434233,-0.114134909,-0.113829805,-0.107364847,-0.019085972,-0.205360923,-0.068155549,0.043303248,0.051473904,-0.004067869,-0.041516851,-0.140824522,-0.098653643,-0.004595725,-0.133792412,-0.212979969,-0.08389522,-0.103348248,-0.040560682,-0.119183557,-0.153401472,0.063988847,-0.186130821,-0.001501448,-0.066546642,0.04464341,-0.144973428,0.037536273,0.058747772,-0.14527733,-0.10072803,-0.052959049,-0.149321203,-0.161628853,-0.013059429,-0.062289807,0.179520893,-0.05134404,-0.067800102,-0.110360764,-0.000321173,-0.077484046,-0.097374042,-0.061966081,-0.025701694,-0.2045035,-0.003985072,-0.167537503,-0.172244616,-0.068028773,-0.124443039,0.005839598,-0.027756522,-0.014149026,0.018749452,0.146412088,-0.003981325,-0.052855832,-0.101258257,-0.116662384,-0.072607275,-0.03347836,-0.016042387,-0.115733002,0.079572134,-0.121002676,0.091782528,-0.116882378,0.139520425,-0.07338716,0.003272222,0.026634122,-0.068453268,-0.185173155,-0.147788821,0.192291821,0.117229423,-0.05476052,-0.062710338,-0.026872689,-0.028157422,0.060165057,-0.157661049,-0.019498632,0.075131385,0.20126934,-0.033904821,-0.046339733,0.111859719,-0.25244512,0.189846842,-0.202469969,-0.079563337,0.077504946,-0.211470187,-0.076123898,0.014065725,-0.09337786,0.079400229,-0.231757426,0.220159024,0.228000863,-0.093185952,0.133685996,-0.215677667,0.162824178,-0.160087805,-0.097143071,-0.130397484,0.059856331,-0.129301526,0.137479116,0.077777796,-0.219298995,0.12167721,0.052422279,-0.178948779,-0.043193871,-0.155971171,0.062503345,-0.067391081,0.126228816,0.106726542,0.195432203,0.000559596,-0.091650043,0.210510773,0.086869305,0.040445278,-0.12404313,-0.057469757,0.180462952,-0.148286696,-0.241539527,-0.16566656,0.042592403,0.25884558,0.085646759,-0.179190638,-0.020239671,0.18900941,-0.148717762,0.076114394,0.053884642,-0.267148218,-0.209829743,0.133410368,-0.075638193
4,90,-0.01624201,-0.279002527,-0.070486726,0.220047563,-0.201168572,0.031399235,-0.015555849,0.038032177,0.474730527,-0.178164754,-0.134359511,0.129049106,0.22020431,0.13778219,0.51030711,-0.278161746,-0.135793842,-0.024111946,0.095752575,0.226192783,-0.172038984,0.260767082,-0.111982347,0.174046866,0.032139481,0.020562214,-0.080641313,-0.037677511,0.150990045,-0.033150272,-0.042169097,-0.129146943,0.163230909,-0.142428324,0.069988092,0.186628305,0.260457669,-0.535494614,0.124139988,0.144790304,0.125850173,-0.260323953,0.239876581,0.022718071,0.110530235,0.008546178,-0.348819955,0.056762377,0.19464635,-0.043191119,0.155104656,-0.100928163,0.026535601,0.081461071,-0.233040879,0.06781722,-0.103550606,0.099719816,-0.040457874,0.266060845,0.157975063,-0.093651215,0.223117889,0.104327174,0.204827431,-0.198147337,0.233743324,0.109060611,0.108825913,0.299559308,-0.046376332,0.121159164,-0.082754308,0.122000166,0.133905313,-0.070833398,-0.020266112,-0.316123042,0.07623797,-0.27950452,-0.054388521,0.008595355,-0.033838594,0.094845152,-0.029214283,-0.066550183,0.218160066,0.072164166,0.155861233,0.078131512,0.267811218,0.122518903,-0.280516363,-0.128902794,0.134315416,-0.337411966,0.089626124,0.117540234,-0.264509658,0.151456356,-0.456585515,0.095555821,0.109397862,0.114838023,0.045014841,-0.224666941,-0.172148516,-0.306904984,-0.396055427,0.154307605,0.340936108,0.061758188,0.228408377,0.287568882,0.147575278,-0.049186734,-0.006639529,0.294116892,0.021963927,0.186304969,0.228858049,0.114867953,-0.049288496,0.1003586,-0.0616918,0.238530016,-0.005279538,-0.043439915,0.331805735,-0.223800627,-0.083045028,0.147713284,-0.001289347,-0.180180069,-0.310790122,0.125150351,0.348488798,0.043260466,-0.113674434,0.034360226,0.289000577,-0.10025963,0.32701723,0.07240498,0.27837986,-0.127251105,0.17543763,0.258141584,-0.11359493,-0.043346647,0.093619104,-0.244860937,-0.01875911,-0.135271402,0.100286974,0.257921878,0.258141007,0.106603911,0.132496208,-0.043633677,-0.021096761,0.073055673,-0.080053966,0.242591056,0.029185553,-0.249913771,0.083110024,-0.156469428,-0.017619189,-0.493965054,0.166967739,0.085934524,-0.2667768,-0.053173347,-0.090100416,-0.012431834,-0.02109044,0.012519958,0.137359648,-0.301319193,0.04235149,0.036404387,-0.224464663
4.5,90,-0.043908021,0.028606864,-0.070286023,0.149702826,-0.225274058,0.000520933,-0.173721919,-0.331099874,0.246142426,-0.21039725,-0.137864739,0.003171124,0.016994694,-0.033968438,0.325126127,-0.14927332,-0.176651977,-0.332110276,-0.009048832,-0.163636653,-0.091377599,0.172602292,-0.027663434,-0.106412676,-0.113812786,0.075519324,-0.257896342,-0.068171287,-0.098224729,0.032843427,-0.123213339,0.070266405,-0.017634344,0.023336485,-0.022635797,-0.081694884,0.033417263,-0.180692919,0.012218133,-0.24023698,-0.093616782,-0.301771329,-0.12826217,-0.063413053,0.013489786,-0.275354531,-0.42255127,-0.180665613,-0.030282385,0.107481979,-0.040567281,0.257261041,-0.14335153,0.034347988,-0.344237554,-0.039841123,-0.13138869,-0.119235445,0.133017791,0.002553372,-0.054706981,-0.027071346,0.285783745,0.054401611,-0.04739159,-0.13470455,-0.070839566,-0.102926481,-0.000807289,0.167464357,-0.071124612,0.12619143,-0.064957462,0.080050469,-0.089143662,0.040538997,0.015304884,-0.348167792,-0.113155744,-0.267372358,-0.104558438,-0.082102207,-0.302805964,-0.371563689,-0.077121417,-0.248326917,0.110882042,-0.008765986,-0.118389789,0.04376419,0.329000514,0.007748441,-0.23280349,-0.102263375,0.009076414,-0.193854759,-0.139031855,-0.01382411,-0.095463557,-0.037571223,-0.371019701,-0.09014463,0.063516152,0.118239624,0.029060284,-0.076353055,0.253126156,-0.259891934,-0.339724118,0.069593256,0.180614365,-0.064371995,0.322947011,0.175572528,0.120639475,0.184266251,-0.106950482,0.046545337,0.029541632,0.03429532,0.249340893,-0.130138587,-0.019205192,0.070294991,-0.067488889,0.184426317,-0.228826848,-0.034632698,0.171760965,-0.082639602,-0.049409662,0.063172589,0.085933592,-0.052272357,-0.444732902,0.086075991,0.346709087,-0.029232504,-0.011875804,-0.303459615,-0.022515711,-0.178045217,0.134074098,0.046492532,0.202963351,-0.176173174,0.177822006,-0.007492277,-0.230474908,0.042163604,-0.127258246,-0.35986591,0.233684713,-0.23364777,0.031041146,-0.043356983,0.108161767,0.010858478,-0.008622426,-0.042909957,-0.164837699,-0.034151642,0.093643215,0.108048715,-0.173724505,-0.269833456,0.029595472,0.051188803,0.015305915,-0.363208244,0.021599322,0.138463414,-0.055803991,-0.047943294,-0.064488442,0.010839433,-0.06338223,-0.043684719,0.147644841,-0.310774509,0.095633265,0.174370095,-0.196737241
