time,stimulus,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21,cell 22,cell 23,cell 24,cell 25,cell 26,cell 27,cell 28,cell 29,cell 30,cell 31,cell 32,cell 33,cell 34,cell 35,cell 36,cell 37,cell 38,cell 39,cell 40,cell 41,cell 42,cell 43,cell 44,cell 45,cell 46,cell 47,cell 48,cell 49,cell 50,cell 51,cell 52,cell 53,cell 54,cell 55,cell 56,cell 57,cell 58,cell 59,cell 60,cell 61,cell 62,cell 63,cell 64,cell 65,cell 66,cell 67,cell 68,cell 69,cell 70,cell 71,cell 72,cell 73,cell 74,cell 75,cell 76,cell 77,cell 78,cell 79,cell 80,cell 81,cell 82,cell 83,cell 84,cell 85,cell 86,cell 87,cell 88,cell 89,cell 90,cell 91,cell 92,cell 93,cell 94,cell 95,cell 96,cell 97,cell 98,cell 99,cell 100,cell 101,cell 102,cell 103,cell 104,cell 105,cell 106,cell 107,cell 108,cell 109,cell 110,cell 111,cell 112,cell 113,cell 114,cell 115,cell 116,cell 117,cell 118,cell 119,cell 120,cell 121,cell 122,cell 123,cell 124,cell 125,cell 126,cell 127,cell 128,cell 129,cell 130,cell 131,cell 132,cell 133,cell 134,cell 135,cell 136,cell 137,cell 138,cell 139,cell 140,cell 141,cell 142,cell 143,cell 144,cell 145,cell 146,cell 147,cell 148,cell 149,cell 150,cell 151,cell 152,cell 153,cell 154,cell 155,cell 156,cell 157,cell 158,cell 159,cell 160,cell 161,cell 162,cell 163,cell 164,cell 165,cell 166,cell 167,cell 168,cell 169,cell 170,cell 171,cell 172,cell 173,cell 174,cell 175,cell 176,cell 177,cell 178,cell 179,cell 180,cell 181,cell 182,cell 183
0,100,0.030737324,-0.040277219,-0.033011067,0.108378562,-0.203774165,0.101077725,-0.168432752,-0.274414688,0.176787832,0.003895966,-0.105831703,-0.138591534,-0.085325725,0.107178257,0.130434373,0.062488656,0.041498106,0.014103233,0.091919434,0.065584863,-0.008441542,-0.050251918,-0.117306706,0.084049976,-0.168637171,-0.001235691,-0.315030116,0.068447587,0.068976248,-0.173901946,0.183319369,-0.024875225,0.286454037,-0.262779923,0.333411933,0.038379033,0.132661666,-0.165396731,-0.011249216,0.158414965,-0.131280746,0.011688466,-0.038675155,0.154329645,-0.043354268,0.022448131,-0.243412414,-0.051308642,0.003676058,0.127728037,-0.076455766,0.155681638,0.057299478,0.128455109,-0.014432209,-0.031953949,-0.179998073,0.008291806,2.53506E-05,-0.25309144,0.034280984,0.079488934,-0.067229953,0.040329015,-0.150943969,-0.15354125,-0.123026695,-0.058335881,-0.049096415,0.192154949,-0.030909736,0.091363974,0.138515316,0.031427086,-0.076232249,-0.111522695,-0.045573403,-0.1016481,-0.05361196,-0.041906963,0.02300471,0.12990046,-0.010537206,-0.05900492,-0.110442295,-0.080007419,0.110743568,-0.048629514,-0.15278426,-0.066999949,0.007168774,0.253168784,-0.100278193,0.072884329,-0.001506904,0.031138432,-0.04868021,0.098645133,-0.110686332,0.121854245,-0.146215675,0.096336477,0.154014483,0.025965391,-0.059605975,0.089290992,-0.053685129,-0.202960035,0.149168373,0.068988151,0.131185457,0.086911928,-0.156033039,-0.15401958,0.258490582,-0.192999618,0.0426161,-0.09162359,0.161211978,0.006765617,0.14904104,-0.045398539,-0.094258897,0.055225463,-0.212217786,0.006872685,-0.086769418,-0.186756312,0.062586663,-0.523385618,-0.140000064,-0.019308449,-0.005532771,0.070152694,-0.39405937,0.296309044,0.23867313,0.061646968,-0.002725495,-0.021726455,0.144001456,-0.045554385,0.210010653,0.025957569,0.122976564,0.061896628,0.253530331,0.10245789,-0.233995141,-0.006540854,0.010045205,-0.041170861,-0.090456812,0.011415694,0.057721894,-0.024030125,0.19488258,0.041699595,0.144759153,0.117494295,-0.070809586,0.014716509,0.102331848,-0.079429167,0.146851891,-0.096301378,0.056875901,0.153338649,-0.108808575,-0.221688816,0.320969493,0.151391206,-0.031358403,0.028976174,0.004836455,-0.015662543,-0.10098701,0.041275296,0.119699695,-0.239798883,-0.302035541,0.102585302,0.089559324
0.5,100,0.088266965,0.095362071,0.06240976,0.045347738,-0.036748379,-0.01104225,0.047335676,-0.17442052,0.211183205,-0.038602921,-0.088962981,0.076786649,0.039727357,-0.085529985,0.24139381,-0.345738406,-0.058086361,-0.212207001,0.160094867,0.098894741,-0.006905584,0.018475898,-0.099308658,-0.136535778,-0.130941169,0.029418677,-0.047832138,0.019901822,0.110025497,0.009005082,0.074664198,-0.006003281,-0.061469846,0.120586696,-0.375498217,-0.042497663,0.023951891,-0.211012557,-0.132624597,-0.049062609,0.01915083,0.079411769,0.047182666,0.028542269,0.00789746,0.05551937,-0.269237831,-0.104990021,0.053045371,-0.019521634,-0.056407356,0.083578659,0.058227789,-0.062688155,-0.142253496,-0.179371937,0.026533823,-0.046729853,-0.04857985,-0.037947178,0.078458748,-0.063970669,0.13722326,-0.056409733,-0.125414984,-0.319312984,-0.087502565,-0.173579281,0.037529203,0.08992084,-0.168513196,0.070984123,0.120756358,0.035094795,-0.141393243,0.003163339,0.057755392,-0.133755154,-0.153075991,-0.060536316,0.138785873,0.005418585,-0.201641161,-0.077059826,0.019562087,-0.03723667,0.19689065,0.04164078,-0.053882988,0.065861214,0.033287146,0.254373823,-0.230430418,0.067563291,-0.137050153,0.035261045,-0.078225659,0.155636194,0.120155275,0.088072424,-0.124477359,0.088778703,0.21821671,0.12848117,-0.051607089,0.022450489,-0.184047893,-0.252022724,0.116059947,0.003766639,0.201100832,0.209292022,0.030442194,-0.055548013,0.056191963,-0.001271194,-0.322640212,-0.019246177,0.1541567,0.141357346,0.344864125,-0.122074539,0.075212548,0.125574093,-0.395201818,-0.042598508,0.04147933,-0.011793891,0.220024974,0.043960466,-0.124466695,0.035752621,0.145421457,-0.06614616,-0.07683957,0.154443719,0.243049388,0.087115233,0.075824374,-0.11506228,0.183814554,-0.144887264,0.353943976,-0.070823139,0.051885347,0.156464945,0.224518777,0.024178635,-0.107908559,-0.039786618,-0.099915135,-0.302950869,-0.032550811,0.053893498,0.176752867,0.145994547,-0.030909547,-0.088684705,0.10886109,0.065138607,-0.228915655,0.147616258,0.006234351,0.09500541,-0.179144807,-0.11163685,0.120933371,-0.167157715,-0.138219206,-0.215394513,0.194160195,-0.050979515,-0.112894516,-0.144570884,0.117095084,0.075653111,-0.11012423,-0.05114075,0.219581648,-0.011653487,0.06548748,0.164461033,0.046714809
1,100,0.138900184,0.073108271,0.001265879,0.057863402,-0.116682215,0.040662692,-0.25445599,-0.374274902,0.096898258,-0.061597154,-0.123669579,-0.110271377,-0.060078402,-0.024580388,0.296931093,0.155904446,-0.002456115,0.085691263,-0.138224561,0.022826909,-0.039869568,0.103362972,-0.09382537,-0.166769864,-0.142558145,-0.168289955,-0.187532441,-0.089391956,-0.032183656,0.04161198,0.040313694,0.030217638,0.054585978,-0.405029437,0.038869367,0.15181158,0.136326213,-0.254299222,-0.110626376,-0.048297532,-0.111131325,0.071044918,-0.156667016,0.092600597,-0.156448743,-0.177260565,-0.092004659,-0.137590182,0.012708149,0.060522922,-0.054587168,0.041319981,0.03612472,0.184810353,0.020724898,0.064450653,0.011724081,0.013564359,-0.115179503,-0.040497335,-0.062160379,0.116660696,0.009869526,-0.00723046,-0.082872547,-0.110898804,0.16312584,-0.002410424,0.05474399,0.005386255,-0.014397057,0.020019154,0.183816029,-0.202854117,0.018487123,0.029826772,-0.118959012,-0.361494478,-0.134305579,-0.116803926,0.055942438,0.12980512,-0.055631073,0.039492682,-0.080543945,-0.073285026,0.261429972,0.010747549,-0.025809224,-0.102868205,0.242072511,0.018870311,0.008497084,-0.006974576,0.056662501,-0.039647276,-0.049354391,-0.084540551,0.050978497,0.04094186,-0.019484664,0.035402268,0.043413159,-0.043690332,0.0288319,-0.080378869,-0.110475333,-0.231651615,0.074732825,0.13187082,0.171994538,0.166315797,0.005933134,-0.111002786,0.146237253,0.018648388,-0.04416327,0.05476324,0.005796305,0.029379335,0.266106638,-0.212362264,-0.220262382,0.207666014,-0.335442577,0.034599162,-0.0905944,0.04263435,0.034452322,-0.326002565,-0.109964017,0.053091136,0.080908366,-0.034859967,-0.256192283,0.203452483,0.264155716,0.030059379,-0.082924902,0.129234023,0.202053882,0.065950282,0.129980687,0.109356998,0.234877228,0.249112471,0.225569995,0.061511418,-0.160977202,-0.022042409,-0.040104116,-0.186840073,-0.115224954,-0.088136002,0.157216467,0.15600586,-0.037818192,-0.018880054,0.078269387,-0.013073568,-0.129604696,0.294379786,-0.041527501,-0.105434738,-0.079292057,-0.050624896,-0.051678107,-0.210112583,-0.330079664,-0.345666644,0.224860248,-0.052664325,-0.177144206,-0.030616294,-0.12710039,-0.167166627,0.021884648,-0.161457472,0.083409535,-0.211018236,0.055369713,0.112719762,0.188808188
1.5,100,0.0422802,0.091378241,-0.012074721,0.050280857,-0.227084253,0.025299596,-0.217656951,-0.14131479,0.121176558,-0.074715395,0.072765007,0.189450501,0.064421923,-0.039708957,0.226893571,-0.082636087,-0.146048845,-0.049675654,0.02221486,-0.075387811,-0.002074239,-0.000131688,0.196969339,-0.079995885,-0.09536967,-0.145089099,-0.141111035,0.105748481,-0.180256072,-0.148990748,-0.083336991,-0.029382984,0.092358115,-0.01145562,-0.091616794,0.210533278,0.104622747,-0.075163218,0.105948242,0.156160093,-0.068072832,0.009190287,-0.160098155,0.061277766,-0.118962089,-0.191405203,-0.207484986,-0.066696315,0.181156807,-0.20143074,0.134126275,0.15478701,-0.06295477,0.026222997,-0.233780412,0.123040868,-0.050707721,-0.123591478,-0.158637435,0.121206213,0.089418345,-0.164421131,0.094525643,-0.074071464,-0.020578056,-0.232533642,-0.23437691,-0.053378861,0.072152488,-0.042851478,-0.038133315,0.124971067,0.113267108,-0.094874399,0.106363229,0.088552289,0.049843105,-0.140121771,-0.146740455,-0.028106146,-0.031656477,0.08297577,-0.026173267,-0.122031871,-0.074884223,0.015839437,0.23059605,0.211747804,-0.1001204,-0.037209306,-0.003026276,0.101747889,-0.184797747,0.071074039,-0.072058705,-0.085369582,0.001393436,0.001883093,0.101868391,0.001219477,-0.038823747,-0.079361261,0.138950788,-0.242288278,-0.022729541,-0.140697898,-0.057154752,-0.307232533,0.068689075,0.051255734,0.030613049,-0.02025637,-0.081234084,-0.10251546,-0.065055339,0.0651542,-0.031625685,0.017966991,0.056837238,0.026136802,0.382933779,0.054550668,-0.036239474,0.046968078,-0.170167895,-0.090808755,-0.020196538,-0.001920404,0.149999615,-0.246844964,-0.098940945,0.027716514,0.056340821,0.076514453,-0.261730966,0.109004896,0.151569732,0.119573349,0.055598154,0.186925405,0.116023969,-0.020112229,-0.031011054,-0.105436675,0.034069769,0.153273955,0.196274401,0.033851506,-0.111518299,-0.129273822,0.050507266,-0.113627835,0.17075161,-0.099884331,0.06591085,0.288986989,0.053574287,-0.141258341,0.181060832,0.013697982,0.122648329,0.009766402,0.117347995,0.130663725,-0.165977153,-0.265552463,-0.03080208,-0.206876501,-0.10965568,-0.203127182,0.086235975,0.262899556,-0.053971428,-0.068737053,-0.219013489,0.05434363,-0.119083978,0.151818798,0.377551993,-0.188160665,0.031218134,0.197189669,-0.059601339
2,110,0.064776067,-0.082809223,-0.120426889,-0.083846985,0.031830786,-0.08777834,-0.221948742,-0.087371204,-0.005052656,-0.03866459,-0.195124042,-0.201204772,-0.089039478,-0.00486354,0.094509332,-0.056000378,-0.1070421,0.012986383,-0.186356906,0.091997915,0.02232969,0.093030193,-0.080953368,-0.110268271,-0.011371032,-0.092096089,0.106058778,0.004234358,0.119883054,-0.089910957,0.003469924,-0.110368128,0.124003345,-0.007978961,-0.210204602,0.179013305,0.055475025,0.053565509,0.02833488,0.044128649,-0.109396325,-0.07744262,-0.219036473,0.086492972,0.010747481,0.000429185,-0.136382078,-0.060946888,0.055654932,0.069509101,0.010750372,0.213845671,0.001803289,-0.005158686,-0.179985799,0.138025349,-0.001334133,-0.005572149,-0.078250989,-0.167410752,-0.042295516,-0.117659761,-0.024042451,-0.079925525,-0.021445996,-0.101001996,0.040182644,-0.081352898,-0.048439328,0.22876148,-0.013848968,0.012371947,0.022823695,-0.221195067,-0.100672266,-0.191606366,-0.149550971,-0.041823075,-0.127902226,-0.110892193,0.031184015,0.057836176,0.201352536,0.058974015,0.04273714,-0.067808403,0.24668113,0.141222886,-0.124527185,-0.112217976,0.215598306,0.236159468,-0.037342038,-0.156759254,-0.053684501,0.064926851,-0.055306777,-0.106640616,0.067727403,0.064505381,-0.27364241,-0.106524663,0.001264724,0.037026144,-0.060844425,0.019095721,-0.684055966,-0.14696531,0.138039116,0.016378505,0.074473385,-0.316814013,-0.130737668,0.005325037,0.021119804,-0.025916956,-0.237313449,-0.048092946,-0.040042016,-0.017200312,0.165234018,-0.376219774,-0.137049863,0.065044515,-0.379688641,-0.027041973,-0.059343572,-0.148602063,-0.014539137,-0.232790149,-0.083450937,0.018928176,-0.129580503,0.013077913,0.120528208,-0.126226963,0.17142005,0.010291183,0.09115257,-0.29119253,0.03130874,-0.094715088,0.102721835,0.033606427,-0.013177169,0.02887159,0.297683494,-0.026833943,0.036771145,0.005351911,0.04772383,-0.027263652,0.077962314,-0.089867442,-0.070678103,0.030693236,-0.075062898,-0.179909342,-0.021879693,0.186879592,-0.126671804,-0.097453075,0.053303571,0.125821649,-0.147351026,-0.000757333,0.134266724,-0.005316898,-0.134597298,-0.303711429,-0.141865871,0.12067065,0.027973155,-0.000244159,0.025909506,0.002951403,-0.012723266,-0.16051808,0.206571594,-0.229119749,-0.021250343,0.070086481,-0.126295516
2.5,110,-0.009557529,-0.060356498,-0.20016906,-0.040368792,-0.170854604,-0.049983398,0.07174406,-0.05399209,0.191438112,0.007843909,-0.054534905,-0.105882235,-0.114687911,0.026475203,0.091347394,-0.186051498,0.05944237,-0.064112939,-0.03290073,0.014868047,0.044746081,0.236753172,-0.173100469,0.060755853,-0.105968894,0.301129926,-0.046271914,-0.032663754,-0.211476092,-0.210448638,-0.027794935,-0.062210557,-0.006581189,-0.1295797,-0.07148045,0.244561688,0.092735982,0.060720633,-0.066569147,0.067947876,-0.108850487,-0.10090719,0.077817273,-0.025363964,-0.0686479,-0.068441104,-0.133831794,-0.214144691,0.068058983,-0.212240763,-0.212149076,0.029000659,-0.004149525,-0.078264533,-0.005760809,0.027912189,-0.066239791,0.000910034,-0.125564665,-0.094582851,-0.070824641,0.035714429,0.000695801,-0.093079066,-0.156731841,-0.065204024,-0.08311471,-0.187194723,-0.072944114,0.053185312,-0.039288544,0.001101264,0.008439751,-0.088492672,-0.073247448,0.011705133,-0.21532973,-0.05950002,-0.119236936,0.021943055,0.065453029,0.073923011,-0.031658535,-0.030457371,-0.040727001,-0.084389774,0.084160591,0.088551819,-0.124317349,-0.082588604,0.07201193,-0.024616404,-0.340992986,0.096896442,-0.085082164,-0.027784767,0.042542783,-0.086536007,-0.1402138,-0.006518012,0.012175619,0.054148394,-0.052059531,-0.117915104,0.124813292,0.009515204,0.100106777,-0.072664591,-0.120984315,-0.083763049,0.074410227,0.232059584,0.021827377,0.029160122,0.084175172,-0.018725302,-0.085928534,-0.044255492,-0.003427518,0.085106475,0.14034169,-0.286432548,-0.099564794,0.237713412,-0.0817328,-0.002165799,-0.156234082,-0.001350067,0.20146888,-0.066835404,-0.134710334,-0.001014697,-0.081721724,0.076689757,-0.137753384,0.017727628,0.083165275,-0.140211229,-0.207191196,0.042116681,0.097064473,-0.036191194,0.066728837,-0.043619311,0.054275482,-0.053008637,0.211323779,0.026659929,-0.090877662,0.022359205,0.037557374,-0.124444057,-0.030550228,-0.076921596,0.01963622,-0.132432537,-0.059041939,-0.039054701,-0.009245068,-0.068047441,-0.133692495,0.228475868,-0.106595014,0.026690077,-0.030024944,-0.125129104,0.140336082,-0.021566047,-0.202193896,-0.200727134,0.069272633,0.083490748,-0.070228371,-0.25636043,-0.03398647,0.022914296,-0.103145005,-0.126645804,0.091274092,-0.275363767,-0.062403242,0.082375723,-0.220864677
3,110,0.023268854,-0.08198704,-0.089106982,0.063119264,-0.099742853,-0.025937815,0.002592979,-0.159177682,0.167700294,-0.061325393,0.050238329,-0.020138718,-0.077925724,-0.127060154,0.139038726,-0.102552829,-0.120008458,-0.136267579,0.02568346,-0.125903081,0.021385579,-0.09951555,-0.013847907,-0.077354117,-0.051969377,0.045072452,0.019565917,-0.115621736,-0.072913613,0.028127173,-0.078415627,0.120912151,0.018476399,0.228851997,-0.009894623,-0.009783543,0.046692972,-0.193456563,-0.187226536,-0.152281642,-0.094758194,-0.274643527,0.124910496,0.020829683,-0.037525615,-0.102276706,-0.163233787,0.085724999,0.055144841,-0.028078232,-0.091060601,0.209989155,0.050381547,-0.020706382,-0.279618911,0.016846447,-0.143307483,-0.042255643,-0.072069282,-0.051110707,-0.238243537,-0.028196019,0.041542928,0.030113438,-0.210057079,-0.116891152,-0.156243514,-0.174027994,-0.033398991,0.147192714,0.028064116,-0.010194906,0.050204777,-0.035680297,0.029085324,-0.093665823,-0.133512802,-0.118622613,-0.197019442,-0.130653963,-0.257242948,0.107529299,-0.024067182,-0.174214211,-0.182039067,-0.154858568,0.00035898,0.085881301,-0.14478631,-0.136689997,-0.016840166,-0.048729102,-0.297246237,0.016347882,-0.028323015,0.099572107,-0.014619885,0.015721939,-0.353084878,0.052431591,-0.284186893,-0.081294304,-0.08664292,-0.179553263,0.055940621,-0.080370063,-0.152892081,-0.13307233,-0.095511354,-0.006939625,0.074499804,-0.095396397,-0.086437099,0.001272629,0.076944749,-0.007510446,-0.167191476,-0.092651014,-0.031936158,-0.158437205,0.196311555,-0.092283812,-0.194008501,-0.098849898,-0.019097578,-0.028930272,-0.099335082,0.086458083,0.266836458,-0.025440172,-0.235187869,0.092342344,-0.071663246,-0.146748822,-0.071322457,0.035152449,0.045663571,-0.029749424,-0.066060319,-0.274800479,-0.112810324,-0.105873461,0.08885713,-0.018965506,0.173032875,0.03803582,0.175013663,0.102170068,-0.148468554,-0.026110367,-0.074653916,0.052658226,0.239930405,-0.132469921,-0.009981571,-0.047712748,-0.064431719,0.063962029,0.002412305,0.150751169,-0.042309116,-0.163887232,0.094554539,0.034120206,-0.085527126,-0.121390709,0.060993005,0.098898492,-0.114181652,-0.264977165,0.074044707,-0.032456777,-0.125996475,-0.11343383,-0.172033786,-0.088852608,0.002693372,-0.317013037,0.136005059,-0.121943874,-0.005462162,0.011924975,-0.096802169
3.5,110,-0.042888768,0.056872409,-0.183192072,-0.171639362,-0.184625632,0.086630568,0.150778305,-0.120845528,0.107468754,-0.085612079,-0.137477617,-0.252390021,-0.068669691,-0.003899517,0.165472214,-0.167448622,-0.224238416,-0.011683103,0.064569881,-0.164667238,-0.051669695,-0.161607302,0.036245022,-0.122435558,-0.195419181,-0.110205869,-0.084076917,-0.091688855,0.246385359,0.101143317,-0.109510749,-0.097055747,-0.041488165,0.09788569,-0.071768777,-0.078635805,-0.042007296,-0.072055856,-0.090787334,-0.106553949,-0.158608654,-0.0885205,0.00145632,0.112537662,-0.019853858,-0.060595978,-0.14961876,-0.098643796,0.018287847,-0.107427515,-0.179801822,0.024534564,-0.056868243,-0.04357895,0.059145253,-0.045736074,0.092124136,-0.08964603,-0.037535297,-0.126545614,0.010263501,-0.12816344,0.084293159,0.058688331,-0.103550059,-0.149176263,-0.074225749,-0.05056363,-0.110266138,-0.014396725,0.085554375,0.114191643,0.003019321,-0.090774617,-0.071096312,-0.005623527,-0.131578121,-0.144280846,-0.04448822,0.015245204,-0.150016978,0.088589607,-0.093426844,-0.234499547,-0.041996613,-0.102844748,0.023030081,-0.059910898,0.079624901,0.057493835,0.049729844,-0.015974212,-0.039229545,-0.126221834,-0.132297714,-0.033356582,-0.019904205,0.011461391,-0.064911775,0.153863797,-0.18287217,0.112213476,-0.072841422,0.13548691,-0.034132309,0.041280431,-0.076331278,-0.068159919,-0.201761897,-0.095195539,0.122919066,0.098236737,-0.069457799,-0.040128523,0.021174271,-0.012565549,0.060648715,-0.127643751,-0.016601647,0.147137643,0.108175508,-0.08288499,-0.065865735,0.118901258,-0.179325714,0.170342324,-0.223556027,-0.045190415,0.142320386,-0.210725549,-0.000747713,0.03140328,-0.032952425,-0.065849831,-0.146563547,0.128414321,0.164774385,-0.102686381,0.214836283,-0.242437577,0.141581965,-0.108980423,-0.084392884,-0.069890017,0.005139211,-0.044790598,0.156277416,0.077717399,-0.158747293,-0.058711678,0.101603654,-0.070817546,0.037346799,-0.25298706,0.030525472,0.088126605,0.109107471,0.115452839,0.114946983,0.134774778,-0.033502479,0.153798595,0.053243296,-0.068857672,-0.030423853,-0.058930666,0.065179841,-0.183843773,-0.202954978,-0.049388241,0.062181328,0.292935311,0.050399721,-0.123269092,0.074558071,0.18041983,-0.140764812,0.104108304,0.089604651,-0.195245724,-0.082979719,0.202281815,-0.034047835
4,90,-0.039169694,-0.266687523,-0.103979501,0.076100743,-0.276029695,0.039848917,-0.079383182,0.099367207,0.301862576,-0.144467634,-0.137983606,0.094983397,-0.018545153,0.109986549,0.424252573,-0.269213809,-0.204292251,-0.189099248,0.020448774,0.198115318,-0.163223614,0.151766436,-0.097449565,0.183545773,-0.004827745,-0.062312436,-0.086278019,0.037840402,0.102139708,-0.128875949,-0.058498204,-0.092323574,0.183857134,-0.262119279,-0.092185327,0.235605346,0.211373383,-0.497247223,0.084993479,0.044149006,-0.006475082,-0.250933408,0.166964374,0.099416178,-0.030498951,0.003523662,-0.333221088,0.008656771,0.126021444,-0.120796097,0.029938109,-0.070888408,0.018348731,0.014678279,-0.02711569,0.101801957,-0.121992386,0.088633743,-0.046092246,0.104250785,0.02409548,-0.122533334,0.021814567,-0.084802031,0.017825382,-0.374559244,-0.003748238,0.113524777,0.059388481,0.172475503,-0.113515267,0.080141916,0.055828595,0.131847532,0.009854877,-0.147863134,0.026671588,-0.428617524,0.014491233,-0.18614308,-0.083081851,0.077077338,-0.040265594,-0.025459825,-0.095136701,0.034248336,0.223149766,0.033093575,0.169140638,0.053250775,0.163448319,0.013254139,-0.308006664,-0.245575613,-0.061933203,-0.251319602,-0.039135138,-0.023017708,-0.278465943,0.151995688,-0.517871436,0.036771383,0.051931868,0.002956068,0.018416105,-0.210439097,-0.189047891,-0.344445984,-0.459164157,-0.016122357,0.224992128,-0.002905529,0.115358302,0.135476556,0.019091828,-0.011583034,-0.081940414,0.188550122,-0.045097152,0.064323754,0.068445801,-0.117576556,-0.079906744,0.089948858,-0.141514777,0.182313174,-0.023622052,-0.150496212,0.263012103,-0.137216426,-0.088360458,0.016906312,-0.120408311,-0.181816481,-0.284225854,-0.04825214,0.223205417,-0.000991842,-0.040147291,-0.075768012,0.117587112,-0.096197341,0.2163486,0.027802955,0.230649774,-0.089651158,0.20140975,0.212660691,-0.107225396,-0.126219681,-0.063239987,-0.22519043,-0.133959351,-0.261688796,0.046072464,0.190300307,0.098631657,0.052789548,0.043409381,-0.035023373,-0.053542208,-0.006127529,-0.099880579,0.060936652,0.015290657,-0.327925983,-0.002988817,-0.308409074,-0.117738335,-0.38473009,0.112088616,0.104885678,-0.304894659,-0.072190555,-0.134407721,0.035588524,-0.073636438,-0.03810027,0.170957896,-0.28624503,0.032977919,0.067884102,-0.126624776
4.5,90,0.000650679,0.029704011,-0.085452537,0.058664604,-0.138382931,0.155185369,-0.213493374,-0.273232135,0.159423123,-0.152268757,-0.001414381,-0.069818286,0.009523251,0.105763977,0.349060045,-0.143488955,-0.144157565,-0.357947275,-0.005317962,-0.145416556,-0.051770535,0.11285046,0.020161559,-0.064615078,-0.040689682,0.033389532,-0.225379762,0.006001978,-0.053260153,3.17558E-05,-0.141475562,0.096235775,-0.00499695,0.019803702,-0.103257205,0.095612323,0.005982806,-0.111627228,-0.013987886,-0.171014026,-0.019446155,-0.182476346,-0.245439687,0.037182194,-0.025353193,-0.152683887,-0.391818329,-0.103541584,-0.007965859,0.032285614,-0.042140433,0.329510192,-0.101436907,0.049202454,-0.171026694,0.101640836,-0.146406535,-0.064792353,0.015749612,-0.087924502,0.010774773,-0.011271708,0.115434873,-0.0581997,-0.098463185,-0.216256869,-0.143060391,-0.073212263,-0.052636883,0.161941529,-0.110935117,0.09628213,0.074639106,0.019604207,-0.061371207,0.019464022,-0.041046553,-0.353109888,-0.068687276,-0.218693866,-0.119118444,0.140085451,-0.190764485,-0.358268032,0.014160973,-0.085454093,0.19992074,-0.082043184,-0.034098906,0.133240941,0.182481389,-0.003139785,-0.272433997,-0.123312932,-0.013891183,-0.24805924,-0.201666906,0.010568219,-0.101198793,-0.013228581,-0.319212665,-0.011039306,0.076282542,0.087068531,0.080030196,-0.052341149,0.24174964,-0.26978014,-0.306192413,0.017536657,0.115687694,-0.08922995,0.249523891,0.078848545,0.130157962,0.143209588,-0.08867562,0.056864264,0.025854479,0.062941742,0.135764649,-0.166295902,0.022675125,0.10009132,-0.144268438,0.1969693,-0.165647879,-0.028662806,0.223331066,-0.12112271,-0.015277826,-0.057309218,0.00054592,-0.035237039,-0.406282951,-0.046284113,0.309347398,0.018094597,0.060622324,-0.267722356,-0.085339168,-0.12358837,0.134852896,-0.030998995,0.196108295,-0.106174809,0.243742324,-0.016794404,-0.175324336,-0.004359843,-0.112288623,-0.267983799,0.106126602,-0.294402947,0.04155308,-0.154918994,0.075503321,-0.029101209,0.025825714,-0.050581616,-0.031717433,-0.058901502,0.045433915,0.063464977,-0.183919282,-0.320919415,0.053089082,0.04805306,-0.063642277,-0.31285946,-0.002322199,0.175252226,0.006197761,0.011113881,-0.066032833,0.050093111,-0.082863725,0.003571065,0.195040959,-0.265834278,0.095820549,0.208581911,-0.199775191
